1	69090	70008	OR4F5	2.77E-05	2.45E-06
1	367658	368597	OR4F16	4.50E-05	4.52E-06
1	367658	368597	OR4F29	4.50E-05	4.52E-06
1	367658	368597	OR4F3	4.50E-05	4.52E-06
1	861120	879961	SAMD11	1.15E-04	1.42E-05
1	879582	894679	NOC2L	8.17E-05	1.18E-05
1	895966	901099	KLHL17	6.15E-05	7.32E-06
1	901876	910484	PLEKHN1	1.21E-04	1.68E-05
1	934343	935552	HES4	1.98E-05	1.98E-06
1	948846	949919	ISG15	1.00E-05	1.17E-06
1	955502	991499	AGRN	2.15E-04	2.58E-05
1	1007125	1009687	RNF223	1.22E-09	1.15E-10
1	1017197	1051736	C1orf159	3.19E-05	4.76E-06
1	1115076	1121243	TTLL10	1.04E-04	1.16E-05
1	1138887	1142089	TNFRSF18	4.66E-05	6.16E-06
1	1146705	1149548	TNFRSF4	2.47E-05	3.35E-06
1	1152287	1167447	SDF4	1.47E-04	1.73E-05
1	1167628	1170420	B3GALT6	2.67E-05	2.67E-06
1	1177825	1182102	FAM132A	5.45E-05	7.59E-06
1	1189291	1209234	UBE2J2	3.69E-05	4.84E-06
1	1215815	1227409	SCNN1D	1.26E-04	1.77E-05
1	1227763	1243269	ACAP3	8.81E-05	1.27E-05
1	1243993	1247057	PUSL1	6.83E-05	9.17E-06
1	1246964	1260067	CPSF3L	2.62E-05	3.47E-06
1	1260142	1264276	GLTPD1	1.68E-05	1.78E-06
1	1266725	1269844	TAS1R3	8.74E-05	9.27E-06
1	1270657	1284492	DVL1	6.29E-05	7.54E-06
1	1288070	1293915	MXRA8	5.03E-05	6.65E-06
1	1309110	1310562	AURKAIP1	9.88E-06	1.30E-06
1	1327667	1334718	CCNL2	3.32E-05	3.89E-06
1	1337275	1342693	MRPL20	7.34E-10	1.14E-10
1	1353799	1356824	ANKRD65	2.73E-05	2.86E-06
1	1361507	1363167	TMEM88B	7.73E-10	8.05E-11
1	1370902	1378262	VWA1	9.62E-05	9.00E-06
1	1385068	1405538	ATAD3C	1.09E-04	1.62E-05
1	1407163	1431582	ATAD3B	1.64E-04	2.33E-05
